sample_name	1_oxy2_Ko	2_empty	3_npsA_Ko	4_thdA_Ko	5_npsB_Ko	6_aroX_Ko	7_dhbX_Ko	8_icmX_Ko	9_adsX_Ko	10_hmoX_Ko	11_msfX_Ko	12_uvrX_Ko	13_oxy6_Kg	14_orfABC	15_npsA_Kg	16_thdA_Kg	17_npsB_Kg	18_aroX_Kg	19_dhbX_Kg	20_icmX_Kg	21_adsX_Kg	22_hmoX_Kg	23_msfX_Kg	24_uvrX_Kg	25_oxy1_Km	26_oxy5_Km	27_LeupAB	28_npsA_Km	29_thdA_Km	30_npsB_Km	31_aroX_Km	32_dhbX_Km	33_icmX_Km	34_adsX_Km	35_hmoX_Km	36_msfX_Km	37_uvrX_Km	38_oxy4_Kpas	39_orfA_truncated	40_npsA_Kpa	41_thdA_Kpa	42_npsB_Kpa	43_aroX_Kpa	44_dhbX_Kpa	45_icmX_Kpa	46_adsX_Kpa	47_hmoX_Kpa	48_msfX_Kpa	49_uvrX_Kpa	50_oxy8_Khaux	51_oxy3_Sp
GCF_000507385.1_ASM50738v1_genomic.fasta	99.656	98.851	99.408	99.134	99.451	99.145	99.873	100.0	99.487	99.735	99.513	99.248	86.766		95.003	96.97	95.217	95.726	96.97	96.367	95.333	96.032	92.701	94.607	86.872	87.171		93.557	93.665	94.076	95.385	95.293	96.051	95.077	95.833	92.782	93.501	86.301		93.294	93.074	94.236	95.043	94.911	96.051	95.092	95.701	92.457	93.59	86.239	84.354
GCF_000527215.1_KoxKA2v1.0_genomic.fasta	99.542	100.0	99.671	99.134	99.359	100.0	100.0	99.842	99.436	99.801	99.432	99.116	86.421		95.003	96.97	95.195	95.214	96.97	96.209	95.385	95.966	92.62	94.385	86.644	86.827		93.557	93.665	94.075	94.872	95.165	95.893	95.128	95.767	92.701	93.236	85.959		93.36	93.074	94.235	94.53	94.784	95.893	95.143	95.635	92.376	93.28	86.009	84.196
GCF_000527235.1_KoxOK1v1.0_genomic.fasta	99.427	98.276	99.408	99.134	99.542	99.145	99.873	100.0	99.538	99.735	99.432	99.293	86.997		95.266	96.97	95.263	95.726	96.97	96.367	95.385	96.032	92.62	94.518	87.1	87.4		93.82	93.665	94.122	95.385	95.293	96.051	95.128	95.833	92.701	93.369	86.53		93.557	93.074	94.282	95.043	94.911	96.051	95.143	95.701	92.376	93.457	86.468	84.449
GCF_000567705.1_Kleb_oxyt_MGH_41_V1_genomic.fasta	87.285	98.98								98.0			97.468												99.087	97.824	99.188											95.189												97.133	85.35
GCF_000567805.1_Kleb_oxyt_MGH_27_V1_genomic.fasta	86.598	94.898								100.0			95.512												96.461	99.084	92.389											95.325												95.183	84.31
GCF_000607265.1_Kleb_oxyt_G54_V1_genomic.fasta	100.0	100.0	99.408	99.134	99.428	98.803	99.873	100.0	99.487	99.735	99.757	99.248	86.881		95.135	96.97	95.263	95.556	96.97	96.367	95.333	95.899	92.863	94.562	86.986	87.171		93.688	93.665	94.075	95.214	95.293	96.051	95.077	95.701	92.863	93.59	86.416		93.425	93.074	94.235	94.872	94.911	96.051	95.092	95.569	92.539	93.546	86.353	84.26
GCF_000632415.1_ASM63241v1_genomic.fasta	87.1	98.98											97.248												99.543	97.603	98.947											94.977												97.592	85.405
GCF_000633235.1_ASM63323v1_genomic.fasta	87.1	98.98											97.018												99.772	97.374	99.352											94.977												97.362	85.485
GCF_000724525.1_ASM72452v1_genomic.fasta	87.215	98.98								100.0			97.133												99.429	97.489	99.109											94.863												97.477	85.311
GCF_000735215.1_ASM73521v1_genomic.fasta	87.215	98.98											97.133												99.429	97.489	99.109											94.863												97.477	85.405
GCF_000783895.1_ASM78389v1_genomic.fasta	87.215	98.98								98.0			97.133												99.429	97.489	98.947											94.863												97.477	85.405
GCF_000783895.2_ASM78389v2_genomic.fasta	87.215	98.98								98.0			97.133												99.429	97.489	98.947											94.863												97.477	85.405
GCF_001006545.1_ASM100654v1_genomic.fasta	87.1	98.98											96.904	97.447											99.886	97.26												94.863	95.642											97.248	85.405
GCF_001022115.1_ASM102211v1_genomic.fasta	99.542	98.851	99.606	99.134	99.337	100.0	100.0	99.842	99.436	99.801	99.432	99.116	86.421		94.938	96.97	95.172	95.214	96.97	96.209	95.385	95.966	92.62	94.385	86.644	86.827		93.491	93.665	94.052	94.872	95.165	95.893	95.128	95.767	92.701	93.236	85.959		93.294	93.074	94.212	94.53	94.784	95.893	95.143	95.635	92.376	93.28	86.009	84.102
GCF_001022295.1_ASM102229v1_genomic.fasta	99.542	98.851	99.606	99.134	99.337	100.0	100.0	99.842	99.436	99.801	99.432	99.116	86.421		94.938	96.97	95.172	95.214	96.97	96.209	95.385	95.966	92.62	94.385	86.644	86.827		93.491	93.665	94.052	94.872	95.165	95.893	95.128	95.767	92.701	93.236	85.959		93.294	93.074	94.212	94.53	94.784	95.893	95.143	95.635	92.376	93.28	86.009	84.102
GCF_001028875.1_ASM102887v1_genomic.fasta	87.215	98.98								100.0			97.133												99.429	97.489	99.109											94.863												97.477	85.499
GCF_001028885.1_ASM102888v1_genomic.fasta	87.215	98.98								100.0			97.133												99.429	97.489	99.109											94.863												97.477	85.499
GCF_001030705.1_Kleb_oxyt_CHS143_V1_genomic.fasta	99.542	98.851	99.606	99.134	99.359	100.0	100.0	99.842	99.436	99.801	99.432	99.116	86.421		94.938	96.97	95.195	95.214	96.97	96.209	95.385	95.966	92.62	94.385	86.644	86.827		93.491	93.665	94.075	94.872	95.165	95.893	95.128	95.767	92.701	93.236	85.959		93.294	93.074	94.235	94.53	94.784	95.893	95.143	95.635	92.376	93.28	86.009	84.196
GCF_001030755.1_Kleb_oxyt_MGH87_V1_genomic.fasta	87.285	98.98								98.0			97.468												99.087	97.824	99.188											95.189												97.133	85.35
GCF_001030775.1_Kleb_oxyt_MGH88_V1_genomic.fasta	99.313	100.0	99.54	100.0	99.52	98.889	99.618	99.842	99.179	99.669	99.189	99.16	86.881		95.069	96.104	95.126	95.641	96.104	96.524	95.231	96.098	92.457	94.474	86.986	87.285		93.557	92.76	93.962	95.128	95.293	95.893	94.974	95.899	92.295	93.457	86.416		93.294	92.208	94.122	94.786	94.911	95.893	95.092	95.767	91.971	93.413	86.353	84.637
GCF_001038305.1_ASM103830v1_genomic.fasta	87.1	98.98								95.0			97.018												99.315	97.374	98.138											94.749												97.362	85.311
GCF_001051455.1_ASM105145v1_genomic.fasta	87.1	98.98											96.904	97.447											99.886	97.26												94.863	95.642											97.248	85.405
GCF_001052035.1_ASM105203v1_genomic.fasta	87.1	98.98								98.039			96.904	97.447											99.886	97.26												94.863	95.642											97.248	85.405
GCF_001052045.1_ASM105204v1_genomic.fasta	87.1	98.98								100.0			96.904	97.447											99.886	97.26												94.863	95.642											97.248	85.405
GCF_001052525.1_ASM105252v1_genomic.fasta	87.056	94.898											96.087												97.032	99.656	92.227											95.991												95.757	84.688
GCF_001052785.1_ASM105278v1_genomic.fasta	87.1	98.98								100.0			96.904	97.447											99.886	97.26												94.863	95.642											97.248	85.405
GCF_001053715.1_ASM105371v1_genomic.fasta	100.0	100.0	99.408	99.134	99.405	98.803	99.618	99.842	99.231	99.669	99.27	99.072	86.881		95.135	96.97	95.24	95.556	96.97	96.524	95.282	96.098	92.539	94.385	86.986	87.171		93.688	93.665	94.052	95.043	95.293	95.893	95.026	95.899	92.376	93.369	86.416		93.425	93.074	94.212	94.701	94.911	95.893	95.143	95.767	92.052	93.324	86.353	84.26
GCF_001053845.1_ASM105384v1_genomic.fasta	87.1	98.98								100.0			96.904	97.447											99.886	97.26												94.863	95.642											97.248	85.405
GCF_001053875.1_ASM105387v1_genomic.fasta	86.872	98.98	93.688	92.76	94.076	94.701	95.038	96.051	95.077	95.894	92.863	93.192	97.018		95.003	94.667	95.471	96.581	94.667	95.103	96.718	96.898	94.972	95.623	99.315	97.374	99.271	99.934	100.0	99.817	99.829	99.873	100.0	99.487	99.142	99.919	99.735	94.749		97.83	98.268	98.399	99.231	98.728	98.736	98.722	99.142	98.135	98.32	97.362	85.311
GCF_001054575.1_ASM105457v1_genomic.fasta	99.542	98.851	99.606	99.134	99.359	100.0	100.0	99.842	99.436	99.801	99.432	99.116	86.421		94.938	96.97	95.195	95.214	96.97	96.209	95.385	95.966	92.62	94.385	86.644	86.827		93.491	93.665	94.075	94.872	95.165	95.893	95.128	95.767	92.701	93.236	85.959		93.294	93.074	94.235	94.53	94.784	95.893	95.143	95.635	92.376	93.28	86.009	84.196
GCF_001054755.1_ASM105475v1_genomic.fasta	87.4	98.98	93.623	92.76	94.122	95.043	95.165	96.209	94.974	100.0	92.863	93.148	97.353		94.938	94.667	95.517	96.923	94.667	95.261	96.615	96.964	94.972	95.579	99.201	97.709	99.271	99.869	100.0	99.817	99.487	99.746	99.526	99.385	99.208	99.757	99.779	95.074		97.765	98.268	98.399	99.06	98.855	98.894	98.62	99.208	98.135	98.364	97.018	85.444
GCF_001054935.1_ASM105493v1_genomic.fasta	99.542	98.851	99.606	99.134	99.359	100.0	100.0	99.842	99.436	98.039	99.432	99.116	86.421		94.938	96.97	95.195	95.214	96.97	96.209	95.385	95.966	92.62	94.385	86.644	86.827		93.491	93.665	94.075	94.872	95.165	95.893	95.128	95.767	92.701	93.236	85.959		93.294	93.074	94.235	94.53	94.784	95.893	95.143	95.635	92.376	93.28	86.009	84.196
GCF_001055635.1_ASM105563v1_genomic.fasta	99.542	98.851	99.606	99.134	99.359	100.0	100.0	99.842	99.436	98.039	99.432	99.116	86.421		94.938	96.97	95.195	95.214	96.97	96.209	95.385	95.966	92.62	94.385	86.644	86.827		93.491	93.665	94.075	94.872	95.165	95.893	95.128	95.767	92.701	93.236	85.959		93.294	93.074	94.235	94.53	94.784	95.893	95.143	95.635	92.376	93.28	86.009	84.196
GCF_001056405.1_ASM105640v1_genomic.fasta	87.4	98.98	93.623	92.76	94.122	95.043	95.165	96.209	94.974	100.0	92.863	93.148	97.353		94.938	94.667	95.517	96.923	94.667	95.261	96.615	96.964	94.972	95.579	99.201	97.709	99.271	99.869	100.0	99.817	99.487	99.746	99.526	99.385	99.208	99.757	99.779	95.074		97.765	98.268	98.399	99.06	98.855	98.894	98.62	99.208	98.135	98.364	97.018	85.35
GCF_001056445.1_ASM105644v1_genomic.fasta	86.872	98.98											97.018												99.543	97.374	99.352											94.977												97.362	85.311
GCF_001056765.1_ASM105676v1_genomic.fasta	86.598	94.898								98.039			95.512												96.461	99.084	92.389											95.325												95.183	84.31
GCF_001057405.1_ASM105740v1_genomic.fasta	100.0	100.0	99.408	99.134	99.428	98.889	99.618	99.842	99.231	99.669	99.27	99.072	86.881		95.135	96.97	95.263	95.641	96.97	96.524	95.282	96.098	92.539	94.385	86.986	87.171		93.688	93.665	94.075	95.128	95.293	95.893	95.026	95.899	92.376	93.369	86.416		93.425	93.074	94.235	94.786	94.911	95.893	95.143	95.767	92.052	93.324	86.353	84.26
GCF_001063775.1_ASM106377v1_genomic.fasta	100.0	100.0	99.408	99.134	99.428	98.889	99.618	99.842	99.231	99.669	99.27	99.072	86.881		95.135	96.97	95.263	95.641	96.97	96.524	95.282	96.098	92.539	94.385	86.986	87.171		93.688	93.665	94.075	95.128	95.293	95.893	95.026	95.899	92.376	93.369	86.416		93.425	93.074	94.235	94.786	94.911	95.893	95.143	95.767	92.052	93.324	86.353	84.26
GCF_001065715.1_ASM106571v1_genomic.fasta	99.542	98.851			98.214					100.0	99.513	99.248	86.881				95.808					98.246	92.457	94.385	86.986	87.285				94.012					96.491	92.62	93.28	86.416				94.012					94.737	92.295	93.369	86.353	84.369
GCF_001066805.1_ASM106680v1_genomic.fasta	87.215	98.98											97.133												99.429	97.717	98.947											95.091												97.477	85.311
GCF_001077175.1_ASM107717v1_genomic.fasta	87.1	98.98											97.248												99.543	97.603	98.947											94.977												97.592	85.405
GCF_001078175.1_Kleb_oxyt_09-7231_V1_genomic.fasta	99.542	99.425	99.408	99.134	99.52	99.573	99.618	99.052	98.615	99.205	99.27	99.469	86.421		95.266	96.97	95.24	95.641	96.97	95.419	94.923	96.296	92.701	94.385	86.644	86.827		93.82	93.665	94.145	95.299	95.293	95.103	94.615	96.098	92.62	93.103	85.959		93.557	93.074	94.305	94.957	94.911	95.103	94.734	95.966	92.295	93.192	86.009	84.196
GCF_001078195.1_Kleb_oxyt_10-5244_V1_genomic.fasta	99.656	100.0			99.405					100.0	99.27	99.027	86.997				95.808					97.368	92.788	94.385	87.1	87.4				94.012					95.614	92.782	93.236	86.53				94.012					93.86	92.457	93.324	86.468	84.449
GCF_001078235.1_Kleb_oxyt_10-5248_V1_genomic.fasta	99.885	98.276	99.408	99.134	99.497	99.145	99.873	100.0	99.487	99.735	99.513	99.248	86.766		95.003	96.97	95.217	95.726	96.97	96.367	95.333	96.032	92.701	94.607	86.872	87.171		93.557	93.665	94.076	95.385	95.293	96.051	95.077	95.833	92.782	93.501	86.301		93.294	93.074	94.236	95.043	94.911	96.051	95.092	95.701	92.457	93.59	86.239	84.354
GCF_001078255.1_Kleb_oxyt_10-5249_V1_genomic.fasta	99.427	98.276	99.408	99.134	99.542	99.06	99.873	100.0	99.538	99.735	99.513	99.248	86.997		95.266	96.97	95.263	95.641	96.97	96.367	95.385	96.032	92.701	94.607	87.1	87.4		93.82	93.665	94.122	95.299	95.293	96.051	95.128	95.833	92.782	93.501	86.53		93.557	93.074	94.282	94.957	94.911	96.051	95.143	95.701	92.457	93.59	86.468	84.449
GCF_001317245.1_ASM131724v1_genomic.fasta	83.333	98.98	93.688	92.76	94.145	94.786	95.038	96.051	94.923	100.0	92.863	93.148	75.226		95.003	94.667	95.54	96.838	94.667	95.103	96.667	96.898	94.972	95.579	75.613	74.898	99.19	99.934	100.0	99.748	99.402	99.873	100.0	99.436	99.142	99.919	99.779	74.829		97.83	98.268	98.421	98.974	98.728	98.736	98.671	99.142	98.135	98.364	75.226	85.255
GCF_001583485.1_KlebPneuJA29_genomic.fasta	86.986	98.98											97.133												99.658	97.489	99.514											95.091												97.477	85.405
GCF_001594375.1_ASM159437v1_genomic.fasta	99.198	99.425	99.408	99.134	99.451	99.231	99.746	100.0	99.128	99.868	99.189	99.646	86.766		95.003	96.97	95.355	95.812	96.97	96.367	95.333	96.032	92.295	94.385	86.758	87.171		93.557	93.665	94.166	95.47	95.165	96.051	95.077	95.833	92.295	93.192	86.301		93.294	93.074	94.326	95.128	94.784	96.051	95.092	95.701	92.052	93.28	86.239	84.196
GCF_001598695.1_ASM159869v1_genomic.fasta	99.656	98.276			100.0					100.0	99.594	98.851	86.766				96.407					98.246	92.62	94.385	86.872	87.171				94.611					96.491	92.701	93.236	86.301				94.611					94.737	92.376	93.28	86.239	84.354
GCF_001870185.1_ASM187018v1_genomic.fasta	99.542	98.851	99.606	99.134	99.314	100.0	100.0	99.842	99.436	99.801	99.432	99.116	86.421		94.938	96.97	95.149	95.214	96.97	96.209	95.385	95.966	92.62	94.385	86.644	86.827		93.491	93.665	94.029	94.872	95.165	95.893	95.128	95.767	92.701	93.236	85.959		93.294	93.074	94.189	94.53	94.784	95.893	95.143	95.635	92.376	93.28	86.009	84.102
GCF_001938605.1_ASM193860v1_genomic.fasta	87.285	98.98	93.623	92.76	94.279	94.872	95.165	96.051	94.974	100.0	92.944	93.015	97.468		94.938	94.667	94.963	96.752	94.667	95.103	96.667	96.672	94.972	95.447	99.087	97.824	100.0	99.869	100.0	99.951	100.0	100.0	100.0	99.385	99.395	99.676	99.646	95.189		97.765	98.268	98.581	99.402	98.855	98.736	98.62	99.546	98.054	98.232	97.133	85.35
GCF_001945455.1_ASM194545v1_genomic.fasta	86.986	98.98								98.039			96.789												100.0	97.146	99.352											94.749												97.133	85.217
GCF_002119875.1_ASM211987v1_genomic.fasta	86.986	98.98								98.039			96.789												100.0	97.146	99.352											94.749												97.133	85.311
GCF_002152315.1_ASM215231v1_genomic.fasta	87.285	98.98								98.0			97.468												99.087	97.824	99.188											95.189												97.133	85.35
GCF_002152325.1_ASM215232v1_genomic.fasta	87.056	95.918								98.039			96.087												97.032	99.656	92.227											95.991												95.757	84.594
GCF_002192755.1_ASM219275v1_genomic.fasta	86.758	98.98								98.039			96.56												99.315	96.918	98.866											94.521												96.904	85.217
GCF_002216835.1_ASM221683v1_genomic.fasta	86.986	98.98								97.959			97.133												99.429	97.489	99.19											94.863												97.477	85.499
GCF_002265195.1_ASM226519v1_genomic.fasta	86.986	98.98											97.133												99.429	97.489	99.19											94.863												97.477	85.499
GCF_002290285.1_ASM229028v1_genomic.fasta	86.986	98.98								97.959			97.133												99.429	97.489	99.19											94.863												97.477	85.499
GCF_002508265.1_ASM250826v1_genomic.fasta	99.198	98.276	99.408	99.134	99.542	99.145	99.873	100.0	99.538	98.0	99.513	99.248	86.766		95.266	96.97	95.263	95.726	96.97	96.367	95.385	96.032	92.701	94.607	86.872	87.171		93.82	93.665	94.122	95.385	95.293	96.051	95.128	95.833	92.782	93.501	86.301		93.557	93.074	94.282	95.043	94.911	96.051	95.143	95.701	92.457	93.59	86.239	84.26
GCF_002588345.1_ASM258834v1_genomic.fasta	99.427	98.276	99.343	99.134	99.542	99.145	99.873	100.0	99.538	98.113	99.513	99.248	86.997		95.201	96.97	95.263	95.726	96.97	96.367	95.385	96.032	92.701	94.607	87.1	87.4		93.754	93.665	94.122	95.385	95.293	96.051	95.128	95.833	92.782	93.501	86.53		93.491	93.074	94.282	95.043	94.911	96.051	95.143	95.701	92.457	93.59	86.468	84.449
GCF_002852935.1_ASM285293v1_genomic.fasta	86.986	98.98								98.0			96.789												100.0	97.146												94.749												97.133	85.311
GCF_002853055.1_ASM285305v1_genomic.fasta	86.598	94.898											95.512												96.461	99.084	92.389											95.325												95.183	84.31
GCF_002853195.1_ASM285319v1_genomic.fasta	99.198	99.425	99.408	99.134	99.451	99.231	99.746	100.0	99.128	99.868	99.189	99.646	86.766		95.003	96.97	95.355	95.812	96.97	96.367	95.333	96.032	92.295	94.385	86.758	87.171		93.557	93.665	94.166	95.47	95.165	96.051	95.077	95.833	92.295	93.192	86.301		93.294	93.074	94.326	95.128	94.784	96.051	95.092	95.701	92.052	93.28	86.239	84.196
GCF_002853215.1_ASM285321v1_genomic.fasta	99.198	99.425	99.408	99.134	99.451	99.231	99.746	100.0	99.128	99.868	99.189	99.646	86.766		95.003	96.97	95.355	95.812	96.97	96.367	95.333	96.032	92.295	94.385	86.758	87.171		93.557	93.665	94.166	95.47	95.165	96.051	95.077	95.833	92.295	93.192	86.301		93.294	93.074	94.326	95.128	94.784	96.051	95.092	95.701	92.052	93.28	86.239	84.196
GCF_002856965.1_ASM285696v1_genomic.fasta	86.986	98.98											97.133												99.429	97.489	99.19											94.863												97.477	85.499
GCF_002887165.1_ASM288716v1_genomic.fasta	86.986	98.98								98.0			96.789												100.0	97.146	99.352											94.749												97.133	85.311
GCF_002887605.1_ASM288760v1_genomic.fasta	87.215	98.98											97.018												99.772	97.374	99.352											94.749												97.362	85.499
GCF_002918665.1_ASM291866v1_genomic.fasta	87.215	98.98								100.0			97.018												99.772	97.374	99.19											94.749												97.362	85.499
GCF_002925905.1_ASM292590v1_genomic.fasta	87.215	98.98								98.0			97.018												99.772	97.374	99.271											94.749												97.362	85.499
GCF_002984395.1_ASM298439v1_genomic.fasta	99.542	100.0	99.474	99.134	99.588	99.145	99.873	99.842	99.641	99.669	99.594	99.072	86.881		95.069	96.97	95.195	95.897	96.97	96.209	95.385	95.833	92.863	94.651	86.986	87.285		93.623	93.665	94.03	95.556	95.293	95.893	95.128	95.635	92.863	93.501	86.416		93.36	93.074	94.19	95.214	94.911	95.893	95.143	95.503	92.539	93.634	86.353	84.449
GCF_003011775.1_ASM301177v1_genomic.fasta	86.872	98.98								100.0			97.248												99.315	97.146	99.19											95.205												97.592	85.311
GCF_003073975.1_ASM307397v1_genomic.fasta	99.885	100.0	99.54	100.0	99.863	99.829	100.0	100.0	99.744	99.868	98.865	99.027	86.766		95.069	96.104	95.24	95.214	96.104	96.367	95.179	95.899	92.539	94.297	86.872	87.171		93.557	92.76	94.03	94.872	95.165	96.051	94.923	95.701	92.62	93.413	86.301		93.294	92.208	94.236	94.53	94.784	96.051	94.939	95.569	92.376	93.413	86.239	84.166
GCF_003074075.1_ASM307407v1_genomic.fasta	87.1	98.98								98.077			97.018												99.772	97.374	99.352											94.977												97.362	85.485
GCF_003261555.1_ASM326155v1_genomic.fasta	86.468	95.918	94.938	96.104	95.057	95.214	95.165	96.682	95.231	95.762	92.457	94.229	99.543	99.764	99.277	100.0	99.565	99.658	100.0	99.684	99.59	99.736	99.676	99.526	97.018	95.757		94.872	94.667	95.311	96.752	97.201	95.419	96.821	96.832	94.891	96.041	95.413	94.915	94.74	93.939	95.357	96.581	97.074	95.419	96.472	96.568	95.134	96.279	99.429	84.877
GCF_003261575.1_ASM326157v1_genomic.fasta	84.12	93.678											85.911												85.502	84.96												85.16												86.105	89.38
GCF_003261575.2_ASM326157v2_genomic.fasta	84.12	93.678								98.039			85.911												85.502	84.96												85.16												86.105	89.38
GCF_003402095.1_ASM340209v1_genomic.fasta	87.1	98.98								100.0			96.904												99.886	97.26	99.271											94.863												97.248	85.405
GCF_003590255.1_ASM359025v1_genomic.fasta	87.1	98.98											97.018												99.315	97.374	99.19											94.749												97.362	85.217
GCF_003598595.1_ASM359859v1_genomic.fasta	86.986	98.98								100.0			97.133												99.429	97.489	99.19											94.863												97.477	85.499
GCF_003693455.1_ASM369345v1_genomic.fasta	86.872	98.98											97.018												99.543	97.603	99.433											94.977												97.362	85.311
GCF_003812925.1_ASM381292v1_genomic.fasta	100.0	100.0			98.214					100.0	99.594	99.204	86.881				95.808					98.246	92.539	94.43	86.986	87.171				94.012					96.491	92.701	93.324	86.416				94.012					94.737	92.376	93.413	86.353	84.26
GCF_003937225.1_ASM393722v1_genomic.fasta	99.427	98.276	99.408	99.134	99.497	99.145	99.873	100.0	99.538	99.735	99.513	99.248	86.997		95.266	96.97	95.217	95.726	96.97	96.367	95.385	96.032	92.701	94.607	87.1	87.4		93.82	93.665	94.122	95.385	95.293	96.051	95.128	95.833	92.782	93.501	86.53		93.557	93.074	94.282	95.043	94.911	96.051	95.143	95.701	92.457	93.59	86.468	84.543
GCF_003991285.1_ASM399128v1_genomic.fasta	99.542	99.425	99.408	99.134	99.52	99.573	99.618	99.052	98.615	100.0	99.351	99.469	86.421		95.266	96.97	95.24	95.641	96.97	95.419	94.923	96.296	92.782	94.385	86.644	86.827		93.82	93.665	94.145	95.299	95.293	95.103	94.615	96.098	92.701	93.103	85.959		93.557	93.074	94.305	94.957	94.911	95.103	94.734	95.966	92.376	93.192	86.009	84.102
GCF_004005605.1_ASM400560v1_genomic.fasta	99.427	98.276	99.408	99.134	99.542	100.0	99.873	100.0	99.538	99.735	99.513	99.248	86.997		95.266	96.97	95.263	95.556	96.97	96.367	95.385	96.032	92.701	94.607	87.1	87.4		93.82	93.665	94.122	94.574	95.293	96.051	95.128	95.833	92.782	93.501	86.53		93.557	93.074	94.282	93.798	94.911	96.051	95.143	95.701	92.457	93.59	86.468	84.543
