File Name,File Definition,Number of 16S Extracted,Reason for No Extraction,Number of Keep Sequences,Number of Outlier Sequences,Number of different sequences saved
GCF_001054755.1_ASM105475v1_genomic.gbff.gz,"Klebsiella michiganensis strain 247_KOXY 1007_11494_138659, whole genome shotgun sequence",1,,1,0,1
GCF_001054935.1_ASM105493v1_genomic.gbff.gz,"Klebsiella oxytoca strain 346_KOXY 0_207_1463, whole genome shotgun sequence",1,,1,0,1
GCF_001055635.1_ASM105563v1_genomic.gbff.gz,"Klebsiella oxytoca strain 181_KOXY 1024_7100_94362, whole genome shotgun sequence",1,,1,0,1
GCF_001056405.1_ASM105640v1_genomic.gbff.gz,"Klebsiella michiganensis strain 337_KOXY 1000_14718_161481, whole genome shotgun sequence",3,,3,0,1
GCF_001056445.1_ASM105644v1_genomic.gbff.gz,"Klebsiella michiganensis strain 345_KOXY 1000_12331_127971, whole genome shotgun sequence",3,,3,0,1
GCF_001056765.1_ASM105676v1_genomic.gbff.gz,"Klebsiella michiganensis strain 442_KOXY 117_3541_966854, whole genome shotgun sequence",3,,3,0,1
GCF_001057405.1_ASM105740v1_genomic.gbff.gz,"Klebsiella oxytoca strain 582_KOXY 1014_13008_158076, whole genome shotgun sequence",4,,4,0,1
GCF_001063775.1_ASM106377v1_genomic.gbff.gz,"Klebsiella oxytoca strain 588_KOXY 1004_2618_23511, whole genome shotgun sequence",1,,1,0,1
GCF_001065715.1_ASM106571v1_genomic.gbff.gz,"Klebsiella oxytoca strain 633_KOXY 1000_49931_560047, whole genome shotgun sequence",1,,1,0,1
GCF_001066805.1_ASM106680v1_genomic.gbff.gz,"Klebsiella michiganensis strain 659_KOXY 1000_10507_120956, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_001077175.1_ASM107717v1_genomic.gbff.gz,"Klebsiella michiganensis strain 793_KOXY 100_29454_515836, whole genome shotgun sequence",1,,1,0,1
GCF_001078175.1_Kleb_oxyt_09-7231_V1_genomic.gbff.gz,"Klebsiella oxytoca 09-7231 supercont1.1, whole genome shotgun sequence",4,No sequences for consensus alignment,0,4,0
GCF_001078195.1_Kleb_oxyt_10-5244_V1_genomic.gbff.gz,"Klebsiella oxytoca 10-5244 supercont1.1, whole genome shotgun sequence",4,No sequences for consensus alignment,0,4,0
GCF_001078235.1_Kleb_oxyt_10-5248_V1_genomic.gbff.gz,"Klebsiella oxytoca 10-5248 supercont1.1, whole genome shotgun sequence",5,,4,1,1
GCF_001078255.1_Kleb_oxyt_10-5249_V1_genomic.gbff.gz,"Klebsiella oxytoca 10-5249 supercont1.1, whole genome shotgun sequence",3,,2,1,2
GCF_001317245.1_ASM131724v1_genomic.gbff.gz,"Klebsiella michiganensis strain ST170:939742031 MIRA_c1, whole genome shotgun sequence",2,No sequences for consensus alignment,0,2,0
GCF_001583485.1_KlebPneuJA29_genomic.gbff.gz,"Klebsiella michiganensis strain UCD-JA29 contig-90_0, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_001594375.1_ASM159437v1_genomic.gbff.gz,"Klebsiella oxytoca strain ICU1-2b contig_10, whole genome shotgun sequence",7,,3,4,1
GCF_001598695.1_ASM159869v1_genomic.gbff.gz,"Klebsiella oxytoca NBRC 105695, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_001870185.1_ASM187018v1_genomic.gbff.gz,"Klebsiella oxytoca strain CAV1015 chromosome, complete genome",8,,3,5,1
GCF_001938605.1_ASM193860v1_genomic.gbff.gz,"Klebsiella michiganensis strain CAV1755 unitig_0, whole genome shotgun sequence",8,,5,3,2
GCF_001945455.1_ASM194545v1_genomic.gbff.gz,"Klebsiella michiganensis strain 97_38 Contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_002119875.1_ASM211987v1_genomic.gbff.gz,"Klebsiella michiganensis strain 3T412C Contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_002152315.1_ASM215231v1_genomic.gbff.gz,"Klebsiella michiganensis strain MGH175 scaffold00001, whole genome shotgun sequence",4,No sequences for consensus alignment,0,4,0
GCF_002152325.1_ASM215232v1_genomic.gbff.gz,"Klebsiella michiganensis strain MGH176 scaffold00001, whole genome shotgun sequence",2,No sequences for consensus alignment,0,2,0
GCF_002192755.1_ASM219275v1_genomic.gbff.gz,"Klebsiella michiganensis strain DPB_3 Cont1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_002216835.1_ASM221683v1_genomic.gbff.gz,"Klebsiella michiganensis strain K516 chromosome, complete genome",8,,5,3,1
GCF_002265195.1_ASM226519v1_genomic.gbff.gz,"Klebsiella michiganensis strain K1439 NODE_100_length_379_cov_0.952381, whole genome shotgun sequence",1,,1,0,1
GCF_002290285.1_ASM229028v1_genomic.gbff.gz,"Klebsiella michiganensis strain K518 chromosome, complete genome",8,,5,3,1
GCF_002508265.1_ASM250826v1_genomic.gbff.gz,"Klebsiella oxytoca strain UNM NODE_101_length_437_cov_1.11935_ID_201, whole genome shotgun sequence",1,,1,0,1
GCF_002588345.1_ASM258834v1_genomic.gbff.gz,"Klebsiella oxytoca strain FDAARGOS_432 pBCCDC_6.contig.0, whole genome shotgun sequence",8,,5,3,4
GCF_002852935.1_ASM285293v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCKM020008 NODE_100_length_801_cov_116.403, whole genome shotgun sequence",1,,1,0,1
GCF_002853055.1_ASM285305v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCKM020040 NODE_105_length_1249_cov_206.799, whole genome shotgun sequence",1,,1,0,1
GCF_002853195.1_ASM285319v1_genomic.gbff.gz,"Klebsiella oxytoca strain WCHKO085010 NODE_100_length_2733_cov_436.294, whole genome shotgun sequence",1,,1,0,1
GCF_002853215.1_ASM285321v1_genomic.gbff.gz,"Klebsiella oxytoca strain WCHKO085006 NODE_100_length_2498_cov_88.893, whole genome shotgun sequence",1,,1,0,1
GCF_002856965.1_ASM285696v1_genomic.gbff.gz,"Klebsiella michiganensis strain D40 NODE_100_length_19866_cov_4.37526, whole genome shotgun sequence",1,,1,0,1
GCF_002887165.1_ASM288716v1_genomic.gbff.gz,"Klebsiella michiganensis strain YD358 YD358_1, whole genome shotgun sequence",1,,1,0,1
GCF_002887605.1_ASM288760v1_genomic.gbff.gz,"Klebsiella michiganensis strain YDC736-2 YDC736_2_1, whole genome shotgun sequence",1,,1,0,1
GCF_002918665.1_ASM291866v1_genomic.gbff.gz,"Klebsiella michiganensis strain KONIH10 NODE_1, whole genome shotgun sequence",1,,1,0,1
GCF_002925905.1_ASM292590v1_genomic.gbff.gz,"Klebsiella michiganensis strain DSM 25444 map unlocalized plasmid unnamed1 contig_30, whole genome shotgun sequence",8,,6,2,3
GCF_002984395.1_ASM298439v1_genomic.gbff.gz,"Klebsiella oxytoca strain FDAARGOS_335 chromosome, complete genome",8,,6,2,2
GCF_003011775.1_ASM301177v1_genomic.gbff.gz,"Klebsiella michiganensis strain 2654 NODE_100_length_274_cov_131.734694, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_003073975.1_ASM307397v1_genomic.gbff.gz,"Klebsiella oxytoca strain AR380 chromosome, complete genome",8,,8,0,3
GCF_003074075.1_ASM307407v1_genomic.gbff.gz,"Klebsiella michiganensis strain AR375 chromosome, complete genome",8,,6,2,3
GCF_003261555.1_ASM326155v1_genomic.gbff.gz,"Klebsiella grimontii strain WCHKG020121 1, whole genome shotgun sequence",1,,1,0,1
GCF_003261575.1_ASM326157v1_genomic.gbff.gz,"Klebsiella huaxiensis. WCHKl090001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_003261575.2_ASM326157v2_genomic.gbff.gz,"Klebsiella huaxiensis strain WCHKl090001 chromosome, complete genome",8,,7,1,2
GCF_003402095.1_ASM340209v1_genomic.gbff.gz,"Klebsiella michiganensis strain IS1015-72 NODE_100_length_939_cov_0.901478_ID_9142, whole genome shotgun sequence",1,,1,0,1
GCF_003590255.1_ASM359025v1_genomic.gbff.gz,"Klebsiella michiganensis strain XP-B1 contig000001, whole genome shotgun sequence",1,,1,0,1
GCF_003598595.1_ASM359859v1_genomic.gbff.gz,"Klebsiella michiganensis strain KMISG1 plasmid pKMISG1, whole genome shotgun sequence",1,,1,0,1
GCF_003693455.1_ASM369345v1_genomic.gbff.gz,"Klebsiella michiganensis strain 1016942 NODE_100_length_22626_cov_7.241310_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_003812925.1_ASM381292v1_genomic.gbff.gz,"Klebsiella oxytoca strain FDAARGOS_500 chromosome, complete genome",8,,5,3,2
GCF_003937225.1_ASM393722v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO_365 NODE_10_length_202885_cov_46.302818, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_003991285.1_ASM399128v1_genomic.gbff.gz,"Klebsiella oxytoca strain ID154312 NODE_10_length_230067_cov_68.4786_ID_1768, whole genome shotgun sequence",1,,1,0,1
GCF_004005605.1_ASM400560v1_genomic.gbff.gz,"Klebsiella oxytoca strain 102B7 102B7_S95_R1_contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_004024205.1_ASM402420v1_genomic.gbff.gz,"Klebsiella michiganensis strain GEO_33_Up_A NODE_100_length_17397_cov_12.7276, whole genome shotgun sequence",1,,1,0,1
GCF_004024445.1_ASM402444v1_genomic.gbff.gz,"Klebsiella michiganensis strain GEO_49_Down_A NODE_100_length_6209_cov_23.6146, whole genome shotgun sequence",1,,1,0,1
GCF_004102625.1_ASM410262v1_genomic.gbff.gz,"Klebsiella michiganensis strain M82255 chromosome, complete genome",8,,2,6,2
GCF_004104525.1_ASM410452v1_genomic.gbff.gz,"Klebsiella grimontii strain SS141 EHW69_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_004104525.2_ASM410452v2_genomic.gbff.gz,"Klebsiella grimontii strain SS141 chromosome, complete genome",8,,6,2,1
GCF_004115315.1_ASM411531v1_genomic.gbff.gz,"Klebsiella michiganensis strain A202R3B6 NODE_100_length_2483_cov_38.0725_ID_199, whole genome shotgun sequence",1,,1,0,1
GCF_004156315.1_ASM415631v1_genomic.gbff.gz,"Klebsiella michiganensis strain Kox37 NODE_10_length_157455_cov_33.742366, whole genome shotgun sequence",1,,1,0,1
GCF_004343645.1_ASM434364v1_genomic.gbff.gz,"Klebsiella grimontii strain 2017H2G1 NODE_10_length_126342_cov_33.057077, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_004360035.1_ASM436003v1_genomic.gbff.gz,"Klebsiella oxytoca strain SO-KOX16-1 NLHKJPMI_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_004785705.1_ASM478570v1_genomic.gbff.gz,"Klebsiella oxytoca strain BX1S15 NODE_100_length_272_cov_0.733333, whole genome shotgun sequence",1,,1,0,1
GCF_007097115.1_ASM709711v1_genomic.gbff.gz,"Klebsiella michiganensis strain SDF3 NODE_10_length_220414_cov_32.780863, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_007097185.1_ASM709718v1_genomic.gbff.gz,"Klebsiella michiganensis strain SDG3 NODE_10_length_198551_cov_32.123856, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_007106885.1_ASM710688v1_genomic.gbff.gz,"Klebsiella michiganensis strain KNU07 chromosome, complete genome",8,,7,1,2
GCF_008082015.1_ASM808201v1_genomic.gbff.gz,"Klebsiella oxytoca strain T0143A.B-10 NODE_100_length_678_cov_62.6955, whole genome shotgun sequence",1,,1,0,1
GCF_008082295.1_ASM808229v1_genomic.gbff.gz,"Klebsiella oxytoca strain T0101B.F-13 NODE_100_length_1299_cov_1.75123, whole genome shotgun sequence",1,,1,0,1
GCF_008120085.1_ASM812008v1_genomic.gbff.gz,"Klebsiella michiganensis strain P095L Y scaffold_000001, whole genome shotgun sequence",1,,1,0,1
GCF_008120305.1_ASM812030v1_genomic.gbff.gz,"Klebsiella michiganensis strain P049A W scaffold_000001, whole genome shotgun sequence",1,,1,0,1
GCF_008120425.1_ASM812042v1_genomic.gbff.gz,"Klebsiella grimontii strain P043G P scaffold_000001, whole genome shotgun sequence",1,,1,0,1
GCF_008120465.1_ASM812046v1_genomic.gbff.gz,"Klebsiella grimontii strain P038I scaffold_000001, whole genome shotgun sequence",1,,1,0,1
GCF_008120915.1_ASM812091v1_genomic.gbff.gz,"Klebsiella grimontii strain P079F P scaffold_000001, whole genome shotgun sequence",1,,1,0,1
GCF_008121175.1_ASM812117v1_genomic.gbff.gz,"Klebsiella michiganensis strain T0101B.F-25 NODE_10_length_174291_cov_57.0309, whole genome shotgun sequence",1,,1,0,1
GCF_008364425.1_ASM836442v1_genomic.gbff.gz,"Klebsiella grimontii strain K1 NODE_10_length_258733_cov_29.3751, whole genome shotgun sequence",1,,1,0,1
GCF_008364425.2_ASM836442v2_genomic.gbff.gz,"Klebsiella grimontii strain K1 chromosome, complete genome",8,,5,3,2
GCF_008693565.1_ASM869356v1_genomic.gbff.gz,"Klebsiella michiganensis strain FDAARGOS_647 chromosome, complete genome",8,,5,3,2
GCF_008931605.1_ASM893160v1_genomic.gbff.gz,"Klebsiella michiganensis strain C52 chromosome, complete genome",8,,6,2,2
GCF_009173485.1_ASM917348v1_genomic.gbff.gz,"Klebsiella michiganensis strain CCUG 66515 contig_0000001, whole genome shotgun sequence",1,,1,0,1
GCF_009648435.1_ASM964843v1_genomic.gbff.gz,"Klebsiella oxytoca strain CLF20 CLF20_BDMS190049473-1a_1.clean_(paired)_contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_009825595.1_ASM982559v1_genomic.gbff.gz,"Klebsiella michiganensis strain 1305118 NODE_10_length_237016_cov_25.2965, whole genome shotgun sequence",1,,1,0,1
GCF_009832375.1_ASM983237v1_genomic.gbff.gz,"Klebsiella oxytoca strain L3404 scaffold1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_009930855.1_ASM993085v1_genomic.gbff.gz,"Klebsiella michiganensis strain F107 chromosome, complete genome",8,,6,2,2
GCF_010093005.1_ASM1009300v1_genomic.gbff.gz,"Klebsiella michiganensis strain BD177 chromosome, complete genome",8,,5,3,2
GCF_010365605.1_ASM1036560v1_genomic.gbff.gz,"Klebsiella oxytoca strain 571.31 KLOX_S6_L001_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_010588125.1_ASM1058812v1_genomic.gbff.gz,"Klebsiella michiganensis strain AS012494 AS012494_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_010590025.1_ASM1059002v1_genomic.gbff.gz,"Klebsiella oxytoca strain AS012479 AS012479_1, whole genome shotgun sequence",1,,1,0,1
GCF_010590065.1_ASM1059006v1_genomic.gbff.gz,"Klebsiella michiganensis strain AS012477 AS012477_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_010590245.1_ASM1059024v1_genomic.gbff.gz,"Klebsiella michiganensis strain AS012469 AS012469_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_010590325.1_ASM1059032v1_genomic.gbff.gz,"Klebsiella oxytoca strain AS012465 AS012465_1, whole genome shotgun sequence",1,,1,0,1
GCF_010590505.1_ASM1059050v1_genomic.gbff.gz,"Klebsiella michiganensis strain AS012456 AS012456_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_010590585.1_ASM1059058v1_genomic.gbff.gz,"Klebsiella oxytoca strain AS012448 AS012448_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_010590665.1_ASM1059066v1_genomic.gbff.gz,"Klebsiella michiganensis strain AS012446 AS012446_1, whole genome shotgun sequence",1,,1,0,1
GCF_010592905.1_ASM1059290v1_genomic.gbff.gz,"Klebsiella michiganensis strain AS012383 AS012383_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_010598605.1_ASM1059860v1_genomic.gbff.gz,"Klebsiella michiganensis strain AS012270 AS012270_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_010598865.1_ASM1059886v1_genomic.gbff.gz,"Klebsiella oxytoca strain AS012254 AS012254_1, whole genome shotgun sequence",1,,1,0,1
GCF_010598965.1_ASM1059896v1_genomic.gbff.gz,"Klebsiella oxytoca strain AS012243 AS012243_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_012395905.1_ASM1239590v1_genomic.gbff.gz,"Klebsiella oxytoca strain 18099069b contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_013074375.1_ASM1307437v1_genomic.gbff.gz,"Klebsiella michiganensis strain JH07 Scaffold10_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_013266825.1_ASM1326682v1_genomic.gbff.gz,"Klebsiella michiganensis strain CRN 27 S27_contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_013392155.1_ASM1339215v1_genomic.gbff.gz,"Klebsiella michiganensis strain ZH142-C NODE_100_length_693_cov_1.298701, whole genome shotgun sequence",1,,1,0,1
GCF_013590775.1_ASM1359077v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00054 chromosome, complete genome",8,,7,1,1
GCF_013606065.1_ASM1360606v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00866 chromosome, complete genome",8,,8,0,1
GCF_013608545.1_ASM1360854v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00555 chromosome, complete genome",8,,7,1,1
GCF_013610655.1_ASM1361065v1_genomic.gbff.gz,"Klebsiella michiganensis strain RHBSTW-00409 chromosome, complete genome",8,,8,0,1
GCF_013624225.1_ASM1362422v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00181 chromosome, complete genome",8,,8,0,1
GCF_013624375.1_ASM1362437v1_genomic.gbff.gz,"Klebsiella michiganensis strain RHBSTW-00167 chromosome, complete genome",8,,8,0,1
GCF_013635015.1_ASM1363501v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00039 chromosome, complete genome",8,,7,1,1
GCF_013636415.1_ASM1363641v1_genomic.gbff.gz,"Klebsiella michiganensis strain RHB20-C02 chromosome, complete genome",8,,8,0,1
GCF_013707575.1_ASM1370757v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00165 chromosome, complete genome",8,,8,0,1
GCF_013730235.1_ASM1373023v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00853 chromosome, complete genome",8,,8,0,1
GCF_013732655.1_ASM1373265v1_genomic.gbff.gz,"Klebsiella michiganensis strain RHBSTW-00909 chromosome, complete genome",8,,8,0,1
GCF_013734595.1_ASM1373459v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00634 chromosome, complete genome",8,,7,1,1
GCF_013735435.1_ASM1373543v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00577 chromosome, complete genome",8,,6,2,2
GCF_013744615.1_ASM1374461v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00186 chromosome, complete genome",8,,8,0,1
GCF_013750595.1_ASM1375059v1_genomic.gbff.gz,"Klebsiella oxytoca strain RHBSTW-00373 chromosome, complete genome",8,,8,0,1
GCF_013821765.1_ASM1382176v1_genomic.gbff.gz,"Klebsiella michiganensis strain F52 N_100_length_501, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_013826985.1_ASM1382698v1_genomic.gbff.gz,"Klebsiella oxytoca strain RHB30-C02 chromosome, complete genome",8,,8,0,1
GCF_013926025.1_ASM1392602v1_genomic.gbff.gz,Klebsiella michiganensis strain RHBSTW-00676 chromosome,8,,8,0,1
GCF_013926505.1_ASM1392650v1_genomic.gbff.gz,Klebsiella grimontii strain RHBSTW-00494 chromosome,8,,8,0,1
GCF_014050515.1_ASM1405051v1_genomic.gbff.gz,"Klebsiella michiganensis strain PS_Koxy4 NODE_100_length_1058_cov_28.712538, whole genome shotgun sequence",1,,1,0,1
GCF_014050515.2_ASM1405051v2_genomic.gbff.gz,"Klebsiella michiganensis strain PS_Koxy4 chromosome, complete genome",8,,6,2,1
GCF_014050535.1_ASM1405053v1_genomic.gbff.gz,"Klebsiella michiganensis strain PS_Koxy2 NODE_100_length_1089_cov_11.896245, whole genome shotgun sequence",1,,1,0,1
GCF_014050555.1_ASM1405055v1_genomic.gbff.gz,"Klebsiella michiganensis strain PS_Koxy1 NODE_100_length_1142_cov_2.887324, whole genome shotgun sequence",1,,1,0,1
GCF_014050555.2_ASM1405055v2_genomic.gbff.gz,"Klebsiella michiganensis strain PS_Koxy1 plasmid pPSKoxy1_1, whole genome shotgun sequence",8,,6,2,1
GCF_014103875.1_ASM1410387v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00189 plasmid pRHBSTW-00189_10, whole genome shotgun sequence",8,,8,0,1
